completion	workerid	condition	item	sentence1	slide_number	verbs	whichVerb
636	trabajaba en un restaurante italiano fue asesinar al chismoso.	25	SC_RC	MEDIUM_8	La conclusión de que el mafioso que 	14	2	NA
637	trabajó el año pasado se fue por problemas médicos es falsa.	29	SC_RC	MEDIUM_9	La creencia de que el CEO que 	26	3	NA
638	trabajó por años en aquella obra era en realidad un farsante parece ser cada vez más cierta. 	45	SC_RC	MEDIUM_9	La creencia de que el escultor que 	35	3	NA
639	trabajó por diez años seguidos en el mismo puesto era que algún día sería ascendido.	48	SC_RC	MEDIUM_1	El sueño de que el empleado que 	40	2	NA
640	trajo a su esposa a la base, es que le quiere pedir matrimonio en el primer lugar que se conocieron. 	7	SC_RC	MEDIUM_3	La realidad de que el comandante que 	38	2	NA
641	trajo la tarta fue el que llamó repetidas veces en medio de la noche no me la quitarán por mucho que aparente ser un buen tipo.	53	SC_RC	MEDIUM_6	La certeza de que el vecino que 	38	NA	NA
642	transportaba kilos y kilos de drogas fue confirmada en el puerto.	5	SC_RC	MEDIUM_6	La certeza de que el mafioso que 	34	2	NA
643	transportaba sustancias adictivas en su coche para su posterior venta en un mercado negro era cierta y se le arrestó durante una inspección de su licencia.	74	SC_RC	MEDIUM_5	La información de que el taxista que 	27	2	NA
644	trató de regatear al rey del reino de Castilla durante sus compras semanales, fue recordada a lo largo de la historia hasta el presente.	74	SC_RC	MEDIUM_3	La historia de que el vendedor que 	9	2	NA
645	triunfó en Hollywood haya producido en la película es de admirar 	24	SC_RC	MEDIUM_0	La señal de que el actor que 	27	3	NA
646	tu madre conoce ha sido encarcelado no me sorprende nada	35	SC_RC	MEDIUM_11	El hecho de que el CEO que 	28	3	NA
647	tuvo el accidente estaba de gravedad, era verdadero, pero se está recuperando mejor de lo previsto.	62	SC_RC	MEDIUM_5	El reporte de que el corredor que 	13	3	NA
648	tuvo ese pequeño accidente fue a propósito, suena de locos.	62	SC_RC	MEDIUM_6	La hipótesis de que el librero que 	29	3	NA
649	usa la violencia verbal debe ser apartado de la politica, es amplio en la sociedad.	41	SC_RC	MEDIUM_8	El convencimiento de que el extremista que 	22	3	NA
650	usa tácticas no éticas suele ser mas productivo, resulto falsa.	49	SC_RC	MEDIUM_9	La hipótesis de que el vendedor que 	14	3	NA
651	usa uniforme gana mas dinero, es concluyente.	41	SC_RC	MEDIUM_3	El reporte de que el taxista que 	37	3	NA
652	uso dineró público en su beneficio a la hora de ser elegido, provocó enfados a escala nacional en el pueblo, obligando al gobierno a investigar a todos los presentados a senadores antes de realizar las elecciones.	74	SC_RC	MEDIUM_7	El hecho de que el senador que 	14	2	NA
653	va a llegar a tiempo la tengo yo. 	21	SC_RC	MEDIUM_9	La certeza de que el taxista que 	28	2	NA
654	va a sustituir al actual esta en esta carpeta.	17	SC_RC	MEDIUM_4	La información de que el CEO que 	40	2	NA
655	va en mi clase me fue muy útil 	9	SC_RC	MEDIUM_0	La información de que el estudiante que 	32	2	NA
656	vende flores, también vende marihuana. 	3	SC_RC	MEDIUM_4	La historia de que el vecino que 	37	2	NA
657	vende manzanas hara su tienda es lo que lo mantiene	39	SC_RC	MEDIUM_1	El sueño de que el vendedor que 	19	3	NA
658	vendía drogas, había estado en el crimen, eran claras	43	SC_RC	MEDIUM_2	La prueba de que el mafioso que 	29	3	NA
659	vendía flores en la calle era un ladrón, le despertó a Martita una indignación terrible. 	6	SC_RC	MEDIUM_0	El reconocimiento de que el vendedor que 	9	3	NA
660	vendía partes robadas era en realidad parte de la mafia resultó ser cierto.	45	SC_RC	MEDIUM_6	El rumor de que el vendedor que 	42	3	NA
661	venia de California era impresionante.	10	SC_RC	MEDIUM_9	El convencimiento de que el predicador que 	36	2	NA
662	venia de otro mundo se pudo descifrar después de 3 días.	26	SC_RC	MEDIUM_5	La señal de que el niño que 	22	2	NA
663	venía hacia mí era malvado se adentró en mi mente.	0	SC_RC	MEDIUM_3	La señal de que el vecino que 	41	3	NA
664	vestia de negro, era el culpable de comerse la ultima galleta. 	7	SC_RC	MEDIUM_0	La prueba de que el predicador que 	12	2	NA
665	vi ayer oliese mal me da ha entender que no se asea normalmente.	22	SC_RC	MEDIUM_9	El hecho de que el vecino que 	20	3	NA
666	Vi desde mi ventana podía volar era en realidad una pesadilla 	19	SC_RC	MEDIUM_4	El sueño de que el niño que 	19	3	NA
667	vi en la tarde fue el mismo que dio el concierto vino cuando me dio su nombre	12	SC_RC	MEDIUM_11	La certeza de que el violinista que 	33	3	NA
668	vi hoy me va hablar is cien percento.	13	SC_RC	MEDIUM_6	La certeza de que el embaucador que 	20	3	NA
669	viemos ayer esta aqui hoy.	13	SC_RC	MEDIUM_5	La realidad de que el librero que 	31	2	NA
670	vigilaba la playa por la tarde era argentino resulto ser cierto	2	SC_RC	MEDIUM_9	El rumor de que el salvavidas que 	16	3	NA
671	vimos ayer está proporcionada por la policía.	22	SC_RC	MEDIUM_5	La información de que la víctima que 	13	2	NA
672	vimos ayer no seguirá dirigiendo la película es cierta.	22	SC_RC	MEDIUM_8	La conclusión de que el director que 	33	3	NA
673	vimos el otro día haya sido arrestado puso a mi madre de buen humor	11	SC_RC	MEDIUM_3	La realidad de que el embaucador que 	21	3	NA
674	vimos en el museo me perseguía con su martillo y cincel hizo que mojara la cama.	33	SC_RC	MEDIUM_4	El sueño de que el escultor que 	18	3	NA
675	vimos ha sobrevivido un accidente de coche es cierta. 	20	SC_RC	MEDIUM_2	La historia de que el violinista que 	39	3	NA
676	vino al pueblo tiene un oscuro secreto.	63	SC_RC	MEDIUM_10	El convencimiento de que el predicador que 	39	2	NA
677	vino con mi primo mordió el mando hasta romperlo no puede ser despejada y estoy en mi derecho.	53	SC_RC	MEDIUM_7	La convicción de que el niño que 	40	3	NA
678	vino de Italia y llegó a ser jefe de una Mafia me sorprendió	55	SC_RC	MEDIUM_2	La historia de que el mafioso que 	40	NA	NA
679	visitaba todos los días la casa era ladrón, eran falsos	43	SC_RC	MEDIUM_6	El rumor de que el violinista que 	39	3	NA
680	vive a dos casas fue el homicida llamado El títere, no tiene duda alguna.	67	SC_RC	MEDIUM_7	El convencimiento de que el vecino que 	23	3	NA
681	vive ayi nos dio es mal.	15	SC_RC	MEDIUM_8	El convencimiento de que el vecino que 	41	3	NA
682	vive en la esquina de la calle es ciego parece ser mentira. 	20	SC_RC	MEDIUM_6	El rumor de que el embaucador que 	14	3	NA
683	vive en nuestra ciudad caminó sobre agua es falsa	11	SC_RC	MEDIUM_6	La creencia de que el predicador que 	18	3	NA
684	vive frente a mi casa es peligroso, es solo una corazonada.	48	SC_RC	MEDIUM_11	La certeza de que el vecino que 	8	3	NA
685	vive solo, nos informaba que había una segunda forma de vida en la casa mucho mas pequeña	16	SC_RC	MEDIUM_0	La señal de que el vecino que 	27	2	NA
686	vivía al otro lado de la calle es un asesino podría ser cierto.	33	SC_RC	MEDIUM_8	El rumor de que el extremista que 	14	3	NA
687	vivía en frente de nuestra casa estaba loco me dio miedo	11	SC_RC	MEDIUM_7	La impresión de que el niño que 	8	3	NA
688	vivia en la guarida salia por fin se hacia realidad	2	SC_RC	MEDIUM_1	El sueño de que el científico que 	8	3	NA
689	vivió en la época romana era un ser superior	35	SC_RC	MEDIUM_4	El sueño de que el senador que 	33	2	NA
690	votó en contra de la legalización del aborto fue secuestrado es ridícula 	11	SC_RC	MEDIUM_2	La ficción de que el senador que 	15	3	NA
